match_number,date,rival,time,stadium,result
1,Domingo 8 de marzo,Frontera,10:00 hs,Albino Stadium,1 - 2
5,Martes 10 de marzo,Las Rosas,21:30 hs,Albino Stadium,1 - 1
2,Domingo 15 de marzo,Sarmiento,13:30 hs,Albino Stadium,2 - 3
3,Lunes 23 de marzo,Velez,21:30 hs,Albino Stadium,1 - 1
4,Domingo 29 de marzo,Arenal,13:30 hs,Albino Stadium,1 - 4
12,Miércoles 8 de abril,Las Rosas,21:30 hs,Albino Stadium,2 - 3
6,Domingo 12 de abril,Comunicaciones,19:45 hs,Albino Stadium,3 - 2
7,Domingo 19 de abril,Dinamo,11:45 hs,Albino Stadium,8 - 6
8,Domingo 26 de abril,Frontera,17:00 hs,Albino Stadium,1 - 7
9,Viernes 1 de mayo,Sarmiento,21:30 hs,Albino Stadium,1 - 4
10,Viernes 8 de mayo,Velez,21:30 hs,Albino Stadium,0 - 1
11,Domingo 17 de mayo,Arenal,13:30 hs,Albino Stadium,1 - 3
13,Domingo 24 de mayo,Comunicaciones,18:45 hs,Albino Stadium,
14,Domingo 31 de mayo,Dinamo,11:45 hs,Albino Stadium,
